Group,Marker Icon,Name,Description,Latitude,Longitude,Quantity,Date Collected,YouTube Video,Stamp Reference,Event,Marker Color,Icon Color,Custom Size,
Tourist Stamps,media/nmStamp.png,Wake Shrine,At the information booth (left side) as you come up the stairs,34.82037855,134.17562177046200,1,2023-04-22,[[https://youtu.be/kWt4eoXYtvo|Link]],,,,,,
Tourist Stamps,media/nmStamp.png,Himeji Castle,Located by the ticket office.,34.839331350000000,134.69402000000000,1,2023-07-17,[[https://youtu.be/LGjwza-6DY8?si=wBwI8Juk-b6EhY7m|Link]]		,,,,,,
Tourist Stamps,media/nmStamp.png,Himeji Information Center,,34.826945,134.690242,4,2023-07-17,[[https://youtu.be/LGjwza-6DY8?si=wBwI8Juk-b6EhY7m|Link]],,,,,,
Tourist Stamps,media/nmStamp.png,Ōsaka Umeda,Can't remember if they're inside the ticketed area or not.,34.7052911,135.4983887,3,2023-08-13,[[https://youtu.be/A8L7N_Q6WGg?si=tHS6l_EHFqUaeg8P|Link]],,,,,,
Tourist Stamps,media/nmStamp.png,Amanohashidate Chairlift and Monorail,On your left right before exiting the building (after coming back down the mountain).,35.555705,135.183908,1,2023-08-14,[[https://youtu.be/A8L7N_Q6WGg?si=tHS6l_EHFqUaeg8P|Link]],,,,,,
Tourist Stamps,media/nmStamp.png,Okayama Castle,Located in the basement by the ninja course.,34.665176350000000,133.93604457863000,2,2023-08-31,,,,,,,
Tourist Stamps,media/nmStamp.png,Momotaro Tourist Information Center,Located to the right by the windows.,34.66576,133.91827,1,,,,,,,,
Tourist Stamps,media/nmStamp.png,Nogeyama Zoological Gardens,,35.4472879,139.6225126,1,2025-10-23,[[https://youtu.be/2ULJEbHzXq4|Link]],,,,,,
Tourist Stamps,media/nmStamp.png,Yokohama Station Information Center,,35.46629,139.62199,1,2025-10-23,,,,,,,
Tourist Stamps,media/nmStamp.png,Harajuku Station,,35.67050185,139.7024143818140,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,JR EAST Travel Service Center,,35.71241,139.77699,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Keikyu Yokohama,Located inside the ticket gate.,35.46566,139.6229,2,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Sengakuji Station,Inside the ticket gate. The ink may be low.,35.6377427,139.7391684,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Shinjuku Information Center,,35.6895874,139.701863,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Sugamo Station,,35.73341,139.73928,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Takanawa Gateway,,35.635399,139.7406642,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Tokyo Station Marunouchi South Gate,,35.6805083,139.7647391,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Ueno Railway Station,,35.71394825,139.7775578726290,1,2025-10-27,,,,,,,
Tourist Stamps,media/nmStamp.png,Center Kita,Located in the ticket office/lost in found.,35.5533318,139.5785777,3,2025-11-02,,,,,,,
Tourist Stamps,media/nmStamp.png,Shin-Yokohama,,35.5068329,139.6175837,1,2025-11-02,,,,,,,
Tourist Stamps,media/nmStamp.png,Ebisu Station,,35.6464413,139.7102082,1,2025-11-03,,,,,,,
Tourist Stamps,media/nmStamp.png,JR Yokohama Station,Located inside the attendant booth at the North Central gate.,35.466315,139.623227,2,2025-11-20,,,,,,,
Tourist Stamps,media/nmStamp.png,Motomachi-chukagai Station,Located next to the info booth and ticket machines.,35.4421165,139.6509129,2,2025-11-21,,,,,,,
Tourist Stamps,media/nmStamp.png,Yokohama Harbor Police Station,,35.44830965,139.64533145000000,1,2025-11-21,,,,,,,
Tourist Stamps,media/nmStamp.png,Yokohama International Passenger Terminal,,35.4519425,139.64794341916600,3,2025-11-21,,,,,,,
Tourist Stamps,media/nmStamp.png,JR Shinjuku Station,Located with the reserved seats ticket machines.,35.69112195566910,139.6999131744610,1,2025-11-22,,,,,,,
Tourist Stamps,media/nmStamp.png,Tochomae Station (Toei Subway),Located by the station master's office underground.,35.6906065,139.692814,1,2025-11-22,,,,,,,
